#,App name,Category,Distance value,Predict,Risk
205,rl garage for rocket league,Entertainment,0.06236285945259268,0,0
206,fluid simulation free,Entertainment,0.06549324600900538,0,0
207,rokkr,Entertainment,0.06385382059800661,0,0
208,lucky blocks for minecraft,Entertainment,0.06388552025224348,0,0
209,pokémon tv,Entertainment,0.07267597267597256,0,0
210,watched - multimedia browser,Entertainment,0.06385382059800661,0,0
211,deutsches fernsehen - live tv kostenlos gucken,Entertainment,0.08309663046505138,0,0
212,deutsches fernsehen - live tv kostenlos gucken,Entertainment,0.08309663046505138,0,0
213,sky go,Entertainment,0.06741132667058589,0,0
214,jokesphone - joke calls,Entertainment,0.06716346916124934,0,0
215,fake chat conversation - prank,Entertainment,0.0699159663865546,0,0
216,puppy pet daycare - pet puppy salon for caring,Entertainment,0.0584126984126984,0,0
217,air horn - siren sounds prank,Entertainment,0.06807142857142857,0,0
218,a1 xplore tv go (si),Entertainment,0.07917714285714277,0,0
219,servustv,Entertainment,0.06639705007731647,0,0
220,hd austria,Entertainment,0.06607325259010642,0,0
221,tv today - tv programm,Entertainment,0.06397515527950311,0,0
222,guide toca life world city 2021 - life toca 2021,Entertainment,0.06810843740481264,0,0
223,truth or dare ⁉️ dirty games,Entertainment,0.07909989771564949,0,0
224,ps4 second screen,Entertainment,0.07979220779220786,0,0
225,servustv,Entertainment,0.06640541503384391,0,0
226,app flame: play games & get rewards,Entertainment,0.06688988095238095,0,0
227,ard mediathek,Entertainment,0.07560598246518817,0,0
228,smart iptv premium,Entertainment,0.08161209068010063,0,0
229,simulated video call from santa claus fake,Entertainment,0.06926406926406926,0,0
230,truth or dare 🌶️ dirty,Entertainment,0.07947269303201498,0,0
231,tv watch - kostenlos fernsehen,Entertainment,0.0636317907444668,0,0
232,face changer 2,Entertainment,0.0654884634266077,0,0
233,fake call - prank,Entertainment,0.07012408526885136,0,0
234,grand gangster cheats,Entertainment,0.06481137909709336,0,0
235,"free video calls, live chat, messenger, fc time",Entertainment,0.06544850498338865,0,0
236,c:geo,Entertainment,0.08532991672005122,0,0
237,addon zoo craft,Entertainment,0.06022699235134467,0,0
238,lie detector test prank,Entertainment,0.05981703026038,0,0
239,toca life world town freeguide,Entertainment,0.06529258469556974,0,0
240,fireworks boy simulator 3d,Entertainment,0.06882168925964548,0,0
241,exxen,Entertainment,0.0702610910634684,0,0
242,filmzie for android tv - free movie streaming app,Entertainment,0.06487232574189093,0,0
243,block master for minecraft pe,Entertainment,0.06996858251709477,0,0
244,zdfmediathek & live tv,Entertainment,0.0687748783724015,0,0
245,dollicon: cute doll avatar maker,Entertainment,0.06595419847328242,0,0
246,lightsaber simulator,Entertainment,0.06767701863354038,0,0
247,the whip sound,Entertainment,0.06804123711340197,0,0
248,countdown death timer,Entertainment,0.06747860434496376,0,0
249,free ringtones 2021,Entertainment,0.06354515050167221,0,0
250,"megalol - funny videos, pics, gifs, memes & clips",Entertainment,0.057174462705436156,0,0
251,tv spielfilm - tv-programm,Entertainment,0.06397515527950311,0,0
252,"antenne steiermark: musik, infos und unterhaltung",Entertainment,0.07212938005390826,0,0
253,countdown app - death? there’s an app for that.,Entertainment,0.06631393298059962,0,0
254,fake santa claus video calling simulator,Entertainment,0.06879236756213909,0,0
255,3sat-mediathek,Entertainment,0.07922998986828765,0,0
256,instant buttons: the best soundboard app,Entertainment,0.06054991034070523,0,0
257,stadia,Entertainment,0.07233593585144538,0,0
258,funny kids show videos,Entertainment,0.06443710432149738,0,0
259,trovo - live stream & games,Entertainment,0.06604922608475003,0,0
260,appinio - compare your opinion & earn vouchers,Entertainment,0.06859310095719692,0,0
261,"antenne kärnten: musik, infos und unterhaltung",Entertainment,0.07212938005390826,0,0
262,buildings for minecraft,Entertainment,0.05903730910496808,0,0
263,hair clippers prank : electric stun gun,Entertainment,0.0717425431711146,0,0
264,meowtalk,Entertainment,0.06318439269981117,0,0
265,tele - magazin ★ tv-programm ★ on demand ★ kino,Entertainment,0.07227833894500554,0,0
266,"9gag: funny gifs, pics, fresh memes & viral videos",Entertainment,0.057569786535303764,0,0
267,pop music ringtones 2021,Entertainment,0.06019417475728152,0,0
268,highlight cover & logo maker for instagram story,Entertainment,0.0698542274052478,0,0
269,talk to grinchs : grinch fake video call simulator,Entertainment,0.06586345381526103,0,0
270,meme generator free,Entertainment,0.06360407835949136,0,0
271,storylab - insta story art maker for instagram,Entertainment,0.059160018064127635,0,0
272,decision roulette,Entertainment,0.0691940748179764,0,0
273,pair for connection,Entertainment,0.05550351288056214,0,0
274,tikboost: tiktok followers & fans & tiktok like,Entertainment,0.0645908308558911,0,0
275,bff freundschaft test,Entertainment,0.051519756838905785,0,0
276,magische miesmuschel,Entertainment,0.05974025974025974,0,0
277,touch on girl simulator- girl body scan prank 2021,Entertainment,0.053204859656472654,0,0
278,addison rae fake call,Entertainment,0.06746159137812424,0,0
279,rock antenne,Entertainment,0.06391123439667129,0,0
280,"photo retouch - ai remove objects, touch & retouch",Entertainment,0.060848549946294295,0,0
281,broken screen prank - cracked screen pranks app,Entertainment,0.073538961038961,0,0
282,pixel art - color by the block number,Entertainment,0.059591836734693863,0,0
283,never have i ever 🔥 dirty 18+,Entertainment,0.076334051208423,0,0
284,vtm go,Entertainment,0.06765290351070873,0,0
